id,text,class,evidence_source,evidence_locator,note
pseudo.pseudo_logbook_area_vaal_temple,Has Logbook Area: Vaal Temple,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_utzaal_outskirts,Has Logbook Area: Utzaal Outskirts,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_scrublands,Has Logbook Area: Scrublands,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.pseudo_logbook_area_volcano,Has Logbook Area: Volcanic Island,unresolved,,,capture an Expedition Logbook and check for a `logbookMods` array carrying the faction and area; field-census has no `logbookMods` row
pseudo.lake_62572,Reflection of Breach (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_27117,Reflection of the Dream (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_62935,Reflection of the Breachlord (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_22138,Reflection of Delirium (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_42468,Reflection of Flame (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_35395,Reflection of Camaraderie (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_1931,Reflection of Conflict (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_35950,Reflection of Power (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_60981,Reflection of Tyranny (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_38110,Reflection of Frost (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_2745,Reflection of the Storm (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_29096,Reflection of Brutality (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_50834,Reflection of Chaos (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_48307,Reflection of Ambush (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_44399,Reflection of Entrapment (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_46772,Reflection of the Trove (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_49862,Reflection of Essence (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_10363,Reflection of Imprisonment (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_26813,Reflection of Thralldom (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_37203,Reflection of the Harbingers (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_49488,Reflection of Fractured Dimensions (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_7674,Reflection of Phaaryl (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_63412,Reflection of Domination (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_24451,Reflection of Occultism (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_27678,Reflection of Perverted Faith (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_36591,Reflection of Kalandra (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_3699,Reflection of Metamorph (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_57850,Reflection of Catalysis (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_55676,Reflection of Experimentation (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_38892,Reflection of Abyss (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_57101,Reflection of the Chasm (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_34457,Reflection of Darkness (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_55569,Reflection of Bestiary (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_18816,Reflection of the Hunter (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_29224,Reflection of the Wilderness (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_43128,Reflection of the Broken Circle (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_9662,Reflection of the Black Scythe (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_64561,Reflection of the Chalice (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_60034,Reflection of the Sun (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_403,Reflection of Legion (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_32968,Reflection of Stasis (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_34796,Reflection of the Monolith (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_62360,Reflection of Scourge (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_28500,Reflection of Demonfire (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_24232,Reflection of the Nightmare (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_53950,Reflection of Torment (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_25049,Reflection of Possession (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_25480,Reflection of Guilt (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_18737,Reflection of Delve (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_45086,Reflection of Sulphite (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_40031,Reflection of Azurite (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_50846,Reflection of Paradise (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
pseudo.lake_40794,Reflection of Angling (Difficulty #),unresolved,,,fetch a Mirrored Tablet from trade (or capture one) and read its pseudoMods against its properties; no census row names a Reflection
